Date,Not indexed,Indexed,Impressions
2026-02-11,,,8
2026-02-12,,,5
2026-02-13,2,1,4
2026-02-14,38,10,2
2026-02-15,38,10,6
2026-02-16,38,10,9
2026-02-17,39,10,3
2026-02-18,39,10,8
2026-02-19,39,10,3
2026-02-20,39,10,5
2026-02-21,39,10,2
2026-02-22,39,10,3
2026-02-23,39,10,4
2026-02-24,39,10,5
2026-02-25,39,10,4
2026-02-26,39,10,2
2026-02-27,39,10,1
2026-02-28,39,10,2
2026-03-01,39,10,5
2026-03-02,39,10,5
2026-03-03,39,10,2
2026-03-04,39,10,0
2026-03-05,39,10,9
2026-03-06,39,10,10
2026-03-07,9,9,6
2026-03-08,9,9,7
2026-03-09,9,9,