Date,Clicks,Impressions,CTR,Position
2026-02-12,2,8,25%,2.6
2026-02-13,1,5,20%,2.6
2026-02-14,1,4,25%,5.5
2026-02-15,0,2,0%,7
2026-02-16,1,6,16.67%,4.2
2026-02-17,4,9,44.44%,4.9
2026-02-18,1,3,33.33%,2.3
2026-02-19,2,8,25%,7.8
2026-02-20,0,3,0%,6.7
2026-02-21,0,5,0%,5.4
2026-02-22,0,2,0%,8
2026-02-23,0,3,0%,10.7
2026-02-24,1,4,25%,4
2026-02-25,1,5,20%,3.8
2026-02-26,2,4,50%,4.5
2026-02-27,2,2,100%,1.5
2026-02-28,0,1,0%,2
2026-03-01,1,2,50%,3.5
2026-03-02,1,5,20%,4
2026-03-03,0,5,0%,5
2026-03-04,1,2,50%,4.5
2026-03-05,0,0,,
2026-03-06,2,9,22.22%,9.3
2026-03-07,3,10,30%,18.6
2026-03-08,3,6,50%,13.2
2026-03-09,5,7,71.43%,1.6