Country,Clicks,Impressions,CTR,Position
United States,28,47,59.57%,7.83
India,1,10,10%,5.9
Indonesia,1,7,14.29%,5.86
Canada,1,4,25%,6.5
Nigeria,1,2,50%,1
Austria,1,2,50%,1.5
Kosovo,1,2,50%,2
Italy,0,4,0%,4
Pakistan,0,4,0%,4.75
Finland,0,3,0%,3.33
United Kingdom,0,3,0%,3.33
Australia,0,3,0%,5.33
Sweden,0,3,0%,7.33
Spain,0,2,0%,3.5
South Africa,0,2,0%,4
Mexico,0,2,0%,6
Brazil,0,2,0%,10.5
Germany,0,1,0%,2
Morocco,0,1,0%,2
Philippines,0,1,0%,2
United Arab Emirates,0,1,0%,3
Colombia,0,1,0%,3
Azerbaijan,0,1,0%,4
Belgium,0,1,0%,4
Norway,0,1,0%,4
Bangladesh,0,1,0%,5
Ethiopia,0,1,0%,5
Kuwait,0,1,0%,5
Hong Kong,0,1,0%,6
New Zealand,0,1,0%,6
Poland,0,1,0%,6
Argentina,0,1,0%,7
Switzerland,0,1,0%,8
Malaysia,0,1,0%,10
Saudi Arabia,0,1,0%,56