Top pages,Clicks,Impressions,CTR,Position
https://videotext.io/,17,47,36.17%,8.98
https://www.videotext.io/,14,41,34.15%,3.54
https://www.videotext.io/subtitle-grammar-fixer,2,12,16.67%,5
https://www.videotext.io/video-compressor,1,17,5.88%,5.06
https://videotext.io/subtitle-grammar-fixer,1,13,7.69%,6.85
https://videotext.io/privacy,0,24,0%,5.12
https://www.videotext.io/privacy,0,5,0%,4.2
https://www.videotext.io/reduce-video-size,0,3,0%,3
https://www.videotext.io/faq,0,2,0%,6.5
https://videotext.io/video-compressor,0,2,0%,7